331,549,343,529,350,514,321,576,307,576,289,572,280,565,267,557,255,545,249,540,245,533,234,512,232,508,229,486,229,468,228,461,227,443,230,431,242,414,242,416,251,407,251,401,250,402,268,416,244,407,243,409,252,425,235,427,238,429,233,445,259,458,234,465,254,452,238,480,236,483,235,483,232,476,232,474,235,472,240,456,240,440,242,434,250,421,258,414,252,414,250,418,253,415,249,424,245,434,239,440,240,450,233,466,238,474,233,472,232,474,230,460,231,440,235,430,232,430,240,412
337.03,523.24,348.33,507.63,356.96,492.3,333.96,553.22,326.65,555.32,311.79,555.03,305.93,550.02,293.67,543.99,283.02,534.99,277.81,530.1,274.39,522.89,265.57,507.92,263.03,505.01,257.22,489.09,257.5,474.1,256.45,466.11,254.33,451.99,255.53,444.13,265.48,431.48,267.68,427.62,273.59,423.72,274.37,417.49,273.61,418,292.03,427.02,269.43,417.87,268.07,420.97,278.78,429.81,262.5,431.97,265.8,433.04,260.9,442,284.94,452.02,260.05,455.97,281.23,447.98,262.98,468.03,261.78,473.09,261.61,474.36,261.96,474.99,261.83,477.08,263.34,475,267.36,463.02,266.72,449.03,266.51,442.97,273.6,436.12,281.38,429.41,277.3,425.04,276.12,427.08,278.38,425.36,274.69,433.71,270.44,442.97,267.24,442.94,268.13,449,259.95,460.03,263.79,465.93,260.92,467.06,258.62,467.39,257.75,459.8,257.26,447.01,261.76,435.99,258.35,436,263.99,424
348.21,499.65,360.66,487.34,368.54,472.47,344.64,529.36,341.98,533.08,334.16,536.84,330.32,530.61,319.5,528.36,310.05,521.98,306.28,518.76,304.28,513.77,296.15,502,292.82,499.14,287.87,488.94,286.44,477.1,285.25,470.22,283.26,457.95,283.18,452.12,290.38,445.09,292.96,439.98,297.5,438.97,298.14,433.02,297.36,433.44,315.27,440.06,295.23,428.17,293.79,431.85,305.3,435,291.49,433.9,295.09,434,289.31,438.01,309.6,443.41,287.02,448.99,307.44,441.87,287.36,454.54,286.86,461.1,287.34,463.7,290.01,468,289.89,470.08,293.29,477,295.13,469,293.05,457.98,293.23,451.04,297.97,448.98,304.71,444.84,302.18,437.16,301.54,437.99,303.09,437.05,301.22,440.97,298.2,447.17,295.21,446.96,297.24,447.99,286.91,454.03,289.29,456.78,287.84,460.13,284.9,460.07,285.57,458.42,285.13,451,288.25,442.22,284.89,441.92,288.48,435.44
365.57,478.44,375.93,468.08,383.23,453.78,354.04,504.93,355.81,510.3,353.23,514.77,353.98,509.02,344.87,511.14,336.56,507.42,333.48,504.42,333.03,501.99,326.71,496.13,322.64,495.33,316.09,488.01,316.86,479.01,314.24,474.21,311.68,465.1,310.59,460.98,315.85,456.91,318.02,453.01,321.87,452.96,322.09,448.06,321.49,448,338.18,454.05,320.55,439.96,319.89,441.91,330.67,442.69,319.53,438,324.37,434.92,317.23,432.91,334.8,436.09,313.56,440.87,333.61,435.97,312.69,443.28,312.15,449.87,312.92,453.04,318.09,461.01,318.59,465.14,323.23,474.99,323.89,473.02,319.51,467.01,319.13,461.09,323.09,459.97,329.2,457.18,327.58,447.98,327.75,447.05,328.32,447.11,328.39,446.97,326.24,451,323.17,451.08,325.86,447.98,313.86,448.07,314.49,446.96,313.28,449.76,310.05,449.97,312.62,452.97,314.45,452,315.43,446.99,311.79,447,313.72,444.9
385.34,458.66,393.92,451.02,401.17,438.79,366.35,481.74,368.99,487.26,370.02,491.89,375.61,485.4,369.35,491.65,362.84,492.12,361.05,490.97,361.48,489.55,355.96,487,351.33,486.9,345.3,485,346.86,480,344.29,476,340.01,472,338.28,469.26,341.78,468.08,343.04,466.02,346.25,467.01,346.05,463.05,345.86,461.82,361.06,468.07,345.27,453.24,345.56,452.58,355.34,451.93,346.61,444,351.77,440,346.06,430,360.73,429.97,340.28,433.73,360.31,430.99,339.16,435.05,337.49,438.49,338.7,442.24,344.38,449.97,346.06,457.01,350.34,467.01,354.07,472,347.84,471.99,345.57,470,348.44,470.46,353.5,470.03,352.45,460.44,353.61,456.67,354.12,456.08,355.22,454.09,355.1,453.01,352.54,452,353.96,448.98,341.82,444,340.69,439.3,338.89,440.06,335.55,441.1,338.38,444.89,343.77,451.01,342.62,451.64,339.24,451,339.56,452.89
407.44,443.6,413.6,436.91,421.71,429.05,380.82,459.28,383.27,464.63,384.98,468.37,394.23,460.65,391.77,468.19,387.49,472.41,386.72,472.31,388.08,471.98,384.3,475.75,379.32,476.95,373.2,479.01,376.33,475.89,373.74,475,369.87,474,367.18,475.01,368.93,476.01,369.4,475.39,371.29,479.04,370.31,477.27,370.37,475.34,384.74,479.78,369.44,468.02,370.66,464.97,379.74,461.95,372.76,452.08,379.18,444.96,375.95,430.96,386.68,423.93,367.8,427.98,387.05,426,366.17,427.88,363.65,429.29,364.12,430.93,370.7,439.04,372.12,445.92,376.63,457.06,381.45,464.89,377.1,472.95,373.31,476,374.19,480.15,378.14,482.12,376.85,473.89,378.34,469.44,379.04,467.02,381.1,463.03,381.55,460.09,380.51,455.98,382.12,452.01,371.47,443.54,368.88,436,365.81,433.09,361.05,431.97,364.38,436.89,371.18,445.99,371.41,451,368.12,452,366.39,459.11
431.66,434.02,435.22,427.94,442.07,418.95,400.16,439.82,400.77,443.23,403.06,445.94,417.18,438.83,414.23,444.78,410.7,450.3,411.3,450.7,413.66,451.41,410.46,459.03,405.66,463.06,399.29,469.01,403.94,467.98,401.27,467.96,399.75,469.94,397.82,473.02,398.93,476,399.06,476.01,400.41,482,397.64,484.08,397.18,483.14,411.29,485,394.31,481.08,395.86,477.05,404.19,472.14,398.96,460.01,405.67,452,405.24,432.95,414.97,423,395.18,421.93,413.82,423,392.94,420.04,389.55,419.46,389.79,420.04,395.66,424.3,396.58,430.45,400.95,442.02,405.97,451.05,403.94,465.03,402.42,472.99,403.54,479.97,406.42,486,402.99,483,404.26,479.23,404.31,477.3,406.72,472.78,407.7,467.73,407.9,460.95,409.26,456.92,400.11,445,398.21,437.01,394.64,430,388.45,427.03,391.55,431.99,398.07,440,398.94,446.99,395.53,448.03,395.59,458
455.18,422.78,456.81,419.15,463.2,410.82,423.27,426.93,423.06,427.98,425.92,429.05,443.17,423.88,439.73,428.15,435.52,431,436.66,431.31,439.62,432,436.53,442.04,431.28,446.84,424.13,455.95,429.68,455.42,427.09,456.87,426.57,459.41,425.24,463.96,426.06,467.96,426.6,469.14,427.47,474.54,425.76,478.97,425.86,481.04,437.9,480.01,423.11,485,422.7,484.98,430.28,478.25,424.26,470.2,432.05,458.99,433.64,436.99,442.82,425,424.97,423,442.96,423,420.9,415.01,416.93,413,416.34,411.66,421.89,412.99,421.4,415.97,424.18,423.9,428.23,430.97,427.33,447.97,427.41,460.59,428.77,469.12,432.53,477.47,430.97,480.02,433.28,479.76,432.11,480.01,434.88,477,434.98,473,434.9,467,436.31,462.28,427.69,449.72,425.64,442.07,422.54,434.97,417.27,429,420.22,432.01,426.42,438.97,427.43,445,422.95,444,423.38,454
477.56,408.44,477.16,406.84,482.73,398.36,447.44,416.9,446.64,416.33,451.35,418.98,471.23,413.89,467.4,416.89,463.07,418.97,464.22,417.83,467.13,416.93,463.45,427.07,456.93,431.02,447.92,440.07,455.04,441.98,452.13,443.83,452.54,446.59,450.76,450.3,451.17,454.93,451.5,455.49,451.96,461.04,450.59,466.41,450.93,469.02,461.15,466.82,450.53,478.01,450.74,479.25,457.04,474.98,451.87,473.01,459.87,463,462,441,470.64,427,454.19,425.15,471.16,425,450.38,415,446,410,444.34,406,449.09,403.95,447.71,405.23,448.11,407.88,450.92,412.09,450.01,428.98,450.1,441.97,451.53,451.47,455.1,459.88,454.8,465.11,458,467.01,457.56,470.01,460.87,468.15,461.37,465.63,462.91,463.03,464.02,459.99,456.94,449,454.96,443,450.88,438.99,445.1,433,447.92,436,455.25,441,456.41,446,451.83,443,452.09,452
497.07,387.94,495.63,389.37,500.85,382.15,471.89,407.96,471.43,407.61,477.22,409.9,498.55,402.44,495.04,405.98,491.55,409.41,492.41,405.95,496.58,406.52,490.95,414.03,483.51,417.52,472.49,426.47,479.82,427.08,476.89,430.08,477.32,430.71,475.26,433.99,475.15,438.9,475.49,439.51,474.88,443.09,473.76,449.23,474.39,452.61,482.5,448.5,473.94,461.06,475.41,465.59,480.35,462,478.96,467.01,486.9,457.08,490.86,440.01,498.31,424.72,483.58,427,499.33,425,480.82,415,475.09,407.01,473.55,403,477.56,398.02,474.9,397.06,473.64,395.99,474.7,396.25,472.79,410.23,472.49,422.51,472.4,430.5,476.18,439.82,476.37,445.53,480.02,446.92,478.99,451.02,482.49,449.52,483.79,448.21,486.44,448.58,488.08,447.9,483.04,440.97,481.95,437.03,480.16,436.99,473.92,435,477.07,437,483.56,441.89,485.38,447,481.19,443,480.34,448.99
