148,309,146,290,145,294,149,281,148,292,151,297,156,305,177,297,193,297,203,302,232,266,240,270,253,283,256,299,264,307,157,407,137,379,122,353,110,324,110,312,99,310,100,320,102,335,97,323,96,319,93,294,91,301,90,303,83,321,81,351,93,361,93,379,111,387,113,394,114,396,111,387,114,396,157,348,123,401,154,375,144,403,129,403,118,399,102,388,87,378,80,374,79,380,70,374,66,371,66,357,125,314,134,294,138,273,156,268,133,244,84,213,44,231,119,241,123,251,48,337
176.03,317.02,175.01,295.01,174.96,291.01,178.09,277.06,173.23,280.07,172.72,280.26,172.92,283.08,197.35,278.57,207,276,212.03,278.88,243.27,246.76,248.02,249.98,259.05,261.87,261.83,278.24,270,285.99,187.35,402.98,165.85,385.89,150.83,361.03,136.98,335.99,136.59,321.89,128.06,311,126.14,309.88,122.86,313.1,121.32,307.58,120.93,306.05,120.89,291.09,119.56,298.01,118.81,301,110.59,314.97,105.38,334.65,114.91,341.06,111.98,355.37,127.62,362.4,133,370.38,135.32,373.65,134.49,366.51,135.47,373.53,172.76,325.37,141.02,375.96,162.03,349.1,160.64,377.39,151.49,382.49,144.18,384.92,130.56,380.13,117.45,375.01,111.52,371.9,109.47,375.5,99.442,365.9,91.784,358.93,91.488,343.54,149.67,312.13,157.25,298.1,159.68,284.71,176.77,277.94,154.25,255.13,109.58,219.98,70.309,219.28,144.41,241.39,146.63,250,68.01,315.68
205.5,319.99,202.86,302.92,203.51,296.87,205.7,279.89,202.44,277,199.47,273.03,197.25,271.08,220.98,269,227.3,260.61,229.09,258.91,262.04,233.98,263.69,233.31,271.03,242.97,273.01,258.37,282.34,266.63,212.75,387.25,196.05,380,181.97,364,166.72,341.98,164.93,328,158.09,313.99,154.6,305.02,150.15,304.93,148.97,300.02,147.8,297.96,150.05,288.96,147.6,294.1,146.72,297.12,137.31,308.72,130.6,320.39,138.1,322.88,131.43,332.46,142.97,337.33,148.55,344.55,150.01,347.5,154.61,343.49,153.72,349.27,186.97,302.06,156.16,349.87,173.41,323.67,172.09,349.79,168.54,357.35,165.18,361.72,156.45,365.46,145.92,365.09,139.6,362.52,137.37,365,127.54,357.46,119.16,348.96,119.63,336.35,174.9,309.07,182.62,299.97,184.06,290.03,199.21,284.17,174.56,268.59,133.21,233.93,99.389,221.24,167.16,247.21,169.32,251.1,84.285,291.74
234.53,323.97,231.01,310.01,232.3,302.27,231.72,290.65,230.76,281.81,228.14,276.11,224.5,265.5,246.68,263.99,250.12,250.02,249.61,243.36,281.83,223.97,282.17,220.86,288.63,227.37,290.1,241.95,296.89,248.1,233.39,363.62,222.14,363.86,210.57,355.41,197.02,341,195.65,329,186.65,316.03,185.85,306.02,179.42,300.99,178.5,297.1,175.55,294.02,178.37,287,175.69,288.25,174.78,291.01,163.54,299.45,155.38,305,162.05,304.98,154,311.99,160.06,312.86,162.19,317.84,162.19,321.27,172.18,318.85,169.77,324.2,199.74,278.27,171.21,323.67,185.08,298.25,181.57,322.44,182.86,332.23,180.2,335.83,179.93,344.07,171.63,348.34,165.67,348.31,163.38,349.98,154.64,344.22,147.05,339.96,148.15,329.99,200.02,305.99,207.98,300.01,209.51,292.9,222.5,288.5,196.37,277.99,156.93,247.98,126.26,230.12,190.24,255.04,191.97,253.99,107.72,274.18
264,325,260.04,315,259.6,310.95,257.66,302.08,258.48,288.02,255.5,280.09,253.64,266,273.31,262.97,273.59,245.39,272.9,234.99,303.34,217.89,302.64,213.34,308.17,216.92,307.95,227.07,313.6,232.01,246.81,337.28,244.37,340.64,236.61,340.36,227.19,335.85,226.37,328,214.69,319,214.66,309.98,210.66,300.97,208.13,295.99,204.81,293,207.13,288,204.56,284.03,202.73,285.12,189.73,290.24,181.1,291.94,186.46,288.44,178.04,293.96,179.66,289.35,178,292,175.95,295.05,186.02,292.9,184.42,298.66,213.24,254.75,189.1,298.57,197.74,273.25,191.63,294.29,194.97,307.05,195.16,309.86,200.88,321.12,195.32,327.68,189.95,329.02,187.2,328.81,181.07,328.97,172.94,326.05,175.88,322.07,222.4,299.12,231.92,294.97,235.02,294,245.72,293,219.75,283.99,180.11,263.13,152.91,239.91,213.13,262.95,214.11,258.03,132.42,259.89
294.05,320.97,290.56,317,288.55,313.97,284.5,311.08,284.89,297.01,282.76,286.01,281.63,269.89,300.92,264.02,299.52,242,296.64,227.92,325.74,216,324.38,209.03,329.51,211,328.79,218.26,333.02,219.99,265.19,312.8,267.53,320,262.93,326.06,256.11,329.96,256.1,324.99,244.82,321.86,244.93,311,240.97,300.98,237.76,297.04,234.54,292.9,235.65,291.64,233.54,283.99,232.16,282,218.28,285.76,207.38,280.64,212,275,202.66,277.43,202.66,270.03,198.97,268.02,193.13,269.9,200.77,267.27,198.04,272.73,232.2,233.8,205.14,272.79,212.86,249.18,204.66,267.47,207.88,280.51,209.96,283.9,220.1,296.89,219.22,305.82,214.78,311.22,211.64,309.36,207.44,313.67,198.84,312.1,202.43,310.96,244.34,288.72,255.8,290.1,261,292,269.77,292.2,243.1,290.05,204.86,273.89,178.6,253.65,236.2,270.17,236.21,264.17,159.78,252.18
322.1,312.92,319.73,314.23,317.99,314,313.64,314.76,312.64,303,309.55,292.99,308.6,276.11,328.03,266,326.73,242.76,322.32,229.1,349.09,218,346.79,207.96,350.73,207,350.43,211.58,354.82,213.98,280.68,287.29,288.35,296.53,288.9,311.1,283.36,317.9,283.42,316.89,274.78,318.99,275.21,310,271.69,300,267.85,299.07,264.3,295.01,264.22,295,263.5,286,262.07,282,245.44,280.55,234.56,271.33,238.61,264.39,229.66,267.29,227.45,253.86,224.33,250.81,216.42,249.46,223.83,247.19,217.22,248.78,255.26,218.91,221.74,247.22,232.35,226.65,216.86,240.15,220.37,253.67,225.05,257.9,234.97,271.09,238.16,280.86,236.52,288.45,234.55,287.45,232.39,294.61,224.67,298.23,228.08,297.89,266.15,277.95,277.68,280.32,284.69,285.22,294.08,289.99,266.38,293.99,229.73,281.91,204.15,268.08,259.28,277.25,258.61,269.63,188.25,250.91
347.29,297.7,347.25,306.08,346.65,308.33,343.06,314,340.56,305.42,337.29,298,335.5,279.9,354.47,269.46,352.23,247,348.49,231,372.44,220,368.67,207.98,374.27,205.76,373.51,208,376.3,206.89,296.9,262.08,308.11,271.8,311.5,288.5,309.62,303.41,309.93,307.05,302.98,312,305,306,301.95,298.03,297.49,298,294.68,295.72,293.34,297.31,292.45,286.12,291.98,282,272.44,276.97,261.83,262,265.04,253.02,255.42,253.86,254.12,242.83,250.88,237.04,242.46,234.56,249.68,232.9,241.47,230.42,280.57,210.03,244.68,225.06,255.68,209.42,236.41,215.59,235.96,228.03,240.75,232.23,251.23,245.81,256.37,255.66,255.82,264.18,254.99,264.01,255.49,271.97,249.26,280.72,252.26,280.65,287.36,265.74,298.96,269.03,307.76,276.93,315.83,282.15,290.65,292,255.82,290.04,231.42,277.51,282.54,284.12,281.03,275,215.88,254.02
371.2,278.79,371.76,290.13,372.04,294.98,371.15,307.87,369.58,301.88,365.97,299.02,363.42,284,380.84,272.99,377.9,250.94,373.65,234.89,394.81,221.98,391.1,211,396.61,208.09,396.9,206.99,400.04,207.01,317.82,239.2,329.64,248.36,330.17,263.85,333.23,281.73,334.68,292.32,329.88,302.08,333.34,298.86,331.2,293.84,328.05,296.97,324.3,296,321.31,300,320.94,287,321.41,280.98,300.71,271.99,289.56,256.1,291.6,242.29,282.88,245.07,280.3,230.67,278.73,226.37,270.95,226.03,277.79,224.19,268.87,220.04,307.76,205.2,271.4,211.62,281.62,199.14,261.31,196.87,256.25,204.74,260.13,207.88,268.22,220.76,273.84,230.21,276.59,240.43,277.02,240.49,276.94,248.2,273.01,260.99,276.33,262.77,307.63,251.01,319.7,256.3,329,264,336.22,270.89,313.94,287.98,284.16,293.01,259.54,285.56,307.6,287,304.1,278.93,243.47,261
391.56,255.36,394.98,272.07,396.33,278.67,395.68,293.22,395.72,292.15,393.36,293.08,391.57,284.43,407.47,271.89,403.47,253,399.37,236,417.66,222.89,413.53,214,418.56,210.58,419.77,209.05,422.79,209.03,342.78,222.21,353.16,226.89,351.76,240.22,354.43,258.57,357.28,271.72,354.28,285.7,358.79,285.12,357.64,283.45,356.27,290.88,352.7,293.28,349.58,300.01,351.38,288.01,350.81,280.02,329.45,267.97,316.32,248.13,320.13,236.04,308.66,231.93,307.29,219.99,306.06,214.98,299.24,217.08,306.06,215.97,297.7,213,333.3,198.88,301.15,205.03,309.94,193.98,290.22,188.82,282.21,189.98,285.47,191.4,290.25,198.96,296.22,207.76,298.82,217.18,298.55,217.43,298.82,224.19,296.22,239.76,298.45,241.55,327.07,233.93,338.12,238.85,348.82,247.1,355.64,257.23,335.91,279.06,312.03,293,288.31,291.97,332.81,284.18,326.87,280.1,272.03,266.02
